Bug_ID,Sprint,Release_Version,Module,Feature,Component,Bug_Title,Bug_Description,Steps_To_Reproduce,Expected_Result,Actual_Result,Severity,Priority,Bug_Type,Status,Lifecycle_Stage,Reporter,QA_Engineer,Assigned_To,Team,Environment,Operating_System,Browser,Device,App_Version,Date_Reported,Date_Assigned,Date_Fixed,Date_Retested,Date_Closed,Resolution,Root_Cause,Resolution_Time_Hours,Comments,Duplicate_Of,bug1,bug2,duplicate,Similarity_Score
BUG-1001,Sprint-4,v2.1.5,Profile,Profile Feature,Profile Component,Profile Feature Fails To Upload,Profile feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Critical,P2,UI,Open,Open,Vamsi,Pooja,Sai,Mobile,Production,Android 14,Edge,Laptop,2.0,2026-01-01,2026-01-02,2026-01-04,2026-01-05,2026-01-06,Fixed,Code defect,23,Verified by QA,,Profile feature fails to upload,Application duplicates records in Dashboard,0,0.15
BUG-1002,Sprint-6,v2.4.5,Chat,Chat Feature,Chat Component,Chat Feature Returns Error 500,Chat feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,High,P2,UI,In Progress,Open,Kiran,Nisha,Amit,DevOps,Development,Windows 11,Safari,Laptop,2.0,2026-01-02,2026-01-03,2026-01-05,2026-01-06,2026-01-07,Duplicate,Code defect,25,Verified by QA,BUG-1002,Chat feature returns error 500,Issue where chat returns error 500,1,0.85
BUG-1003,Sprint-2,v2.6.3,Reports,Reports Feature,Reports Component,Reports Feature Loads Slowly,Reports feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Medium,P4,UI,Assigned,Open,Kiran,Sneha,Deepak,Backend,QA,Android 14,Safari,Laptop,2.0,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,Duplicate,Code defect,23,Verified by QA,BUG-1002,Reports feature loads slowly,Issue where reports loads slowly,1,0.93
BUG-1004,Sprint-10,v2.8.3,Download,Download Feature,Download Component,Download Feature Duplicates Records,Download feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P1,UI,Verified,Open,Kiran,Harsha,Amit,Frontend,Development,Android 14,Edge,Laptop,2.0,2026-01-04,2026-01-05,2026-01-07,2026-01-08,2026-01-09,Duplicate,Code defect,21,Verified by QA,BUG-1001,Download feature duplicates records,Issue where download duplicates records,1,0.99
BUG-1005,Sprint-10,v2.7.0,Analytics,Analytics Feature,Analytics Component,Analytics Feature Returns Error 500,Analytics feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,High,P3,Security,Assigned,Open,Anil,Pooja,Deepak,Mobile,Production,Android 14,Chrome,Laptop,2.0,2026-01-05,2026-01-06,2026-01-08,2026-01-09,2026-01-10,Fixed,Code defect,16,Verified by QA,,Analytics feature returns error 500,Application shows blank screen in Checkout,0,0.49
BUG-1006,Sprint-6,v2.6.5,Upload,Upload Feature,Upload Component,Upload Feature Crashes,Upload feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,High,P3,Security,New,Open,Ravi,Harsha,Deepak,Backend,Development,Android 14,Edge,Laptop,2.0,2026-01-06,2026-01-07,2026-01-09,2026-01-10,2026-01-11,Fixed,Code defect,31,Verified by QA,,Upload feature crashes,Application does not respond in Camera,0,0.52
BUG-1007,Sprint-6,v2.4.4,Upload,Upload Feature,Upload Component,Upload Feature Does Not Respond,Upload feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Medium,P1,Crash,New,Open,Ravi,Nisha,Deepak,QA,QA,iOS 18,Chrome,Laptop,2.0,2026-01-07,2026-01-08,2026-01-10,2026-01-11,2026-01-12,Fixed,Code defect,40,Verified by QA,,Upload feature does not respond,Application crashes in Backup,0,0.19
BUG-1008,Sprint-9,v2.9.3,Checkout,Checkout Feature,Checkout Component,Checkout Feature Returns Error 500,Checkout feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Critical,P2,UI,Closed,Open,Kiran,Pooja,Sai,Frontend,QA,iOS 18,Safari,Laptop,2.0,2026-01-08,2026-01-09,2026-01-11,2026-01-12,2026-01-13,Fixed,Code defect,26,Verified by QA,,Checkout feature returns error 500,Application freezes in Notification,0,0.21
BUG-1009,Sprint-3,v2.6.2,Search,Search Feature,Search Component,Search Feature Cannot Open,Search feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Critical,P1,Security,Closed,Open,Vamsi,Nisha,Arjun,Backend,Production,iOS 18,Safari,Laptop,2.0,2026-01-09,2026-01-10,2026-01-12,2026-01-13,2026-01-14,Fixed,Code defect,25,Verified by QA,,Search feature cannot open,Application duplicates records in Sync,0,0.4
BUG-1010,Sprint-1,v2.5.1,Analytics,Analytics Feature,Analytics Component,Analytics Feature Returns Error 500,Analytics feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Critical,P2,UI,Verified,Open,Kiran,Pooja,Deepak,DevOps,UAT,Android 14,Edge,Laptop,2.0,2026-01-10,2026-01-11,2026-01-13,2026-01-14,2026-01-15,Duplicate,Code defect,20,Verified by QA,BUG-1009,Analytics feature returns error 500,Issue where analytics returns error 500,1,0.88
